Fecha,Numero,Loteria
1991-08-31,758,Cash noche
1991-09-06,668,Cash noche
1991-09-10,950,Cruz roja
1991-09-13,809,Cash noche
1991-09-17,334,Cash noche
1991-09-17,335,Play noche
1991-09-20,321,Medellín
1991-09-21,230,Cash noche
1991-09-21,363,Play noche
1991-09-22,543,Play noche
1991-09-26,944,Play noche
1991-09-28,741,Cash noche
1991-09-29,44,Cash noche
1991-10-04,308,Play noche
1991-10-05,277,Play noche
1991-10-06,959,Play noche
1991-10-07,808,Cash noche
1991-10-10,45,Cash noche
1991-10-10,982,Play noche
1991-10-11,308,Medellín
1991-10-24,543,Cash noche
1991-10-30,741,Play noche
1991-11-01,433,Play noche
1991-11-03,339,Cash noche
1991-11-05,827,Cash noche
1991-11-05,758,Cruz roja
1991-11-07,2,Cash noche
1991-11-08,549,Medellín
1991-11-10,62,Cash noche
1991-11-12,337,Play noche
1991-11-22,844,Cash noche
1991-11-22,100,Play noche
1991-11-25,50,Play noche
1991-11-27,8,Cash noche
1991-11-27,901,Play noche
1991-12-01,444,Cash noche
1991-12-03,77,Cruz roja
1991-12-10,882,Cash noche
1991-12-10,572,Cruz roja
1991-12-11,471,Cash noche
1991-12-12,722,Cash noche
1991-12-14,744,Cash noche
1991-12-15,311,Play noche
1991-12-17,404,Play noche
1991-12-20,808,Play noche
1991-12-27,100,Cash noche
1991-12-29,944,Cash noche
1991-12-31,352,Play noche
1992-01-04,65,Cash noche
1992-01-04,333,Play noche
1992-01-07,98,Cash noche
1992-01-09,337,Play noche
1992-01-10,710,Medellín
1992-01-11,723,Cash noche
1992-01-14,526,Cruz roja
1992-01-15,265,Cash noche
1992-01-17,844,Cash noche
1992-01-17,433,Medellín
1992-01-18,959,Play noche
1992-01-19,559,Cash noche
1992-01-21,327,Cruz roja
1992-01-26,4,Play noche
1992-02-01,562,Play noche
1992-02-02,701,Cash noche
1992-02-03,892,Cash noche
1992-02-04,950,Cash noche
1992-02-05,562,Cash noche
1992-02-06,335,Play noche
1992-02-07,62,Cash noche
1992-02-08,959,Cash noche
1992-02-13,368,Cash noche
1992-02-14,94,Cash noche
1992-02-19,423,Play noche
1992-02-21,474,Cash noche
1992-02-22,71,Play noche
1992-02-26,449,Play noche
1992-02-29,862,Cash noche
1992-03-03,808,Cash noche
1992-03-05,400,Cash noche
1992-03-06,501,Cash noche
1992-03-08,954,Play noche
1992-03-09,517,Play noche
1992-03-12,354,Cash noche
1992-03-13,213,Play noche
1992-03-13,29,Medellín
1992-03-15,777,Cash noche
1992-03-18,960,Cash noche
1992-03-18,308,Play noche
1992-03-19,758,Cash noche
1992-03-23,590,Cash noche
1992-03-23,409,Play noche
1992-03-25,888,Cash noche
1992-03-27,615,Play noche
1992-03-27,351,Medellín
1992-03-29,945,Cash noche
1992-04-01,352,Play noche
1992-04-03,23,Medellín
1992-04-07,954,Cash noche
1992-04-09,526,Cash noche
1992-04-16,944,Cash noche
1992-04-21,302,Cruz roja
1992-04-22,91,Cash noche
1992-04-24,688,Cash noche
1992-04-25,999,Cash noche
1992-04-27,572,Play noche
1992-04-28,324,Play noche
1992-05-02,324,Play noche
1992-05-03,884,Cash noche
1992-05-06,999,Cash noche
1992-05-08,77,Medellín
1992-05-09,785,Cash noche
1992-05-09,622,Play noche
1992-05-11,788,Cash noche
1992-05-11,610,Play noche
1992-05-14,768,Play noche
1992-05-16,574,Play noche
1992-05-17,978,Cash noche
1992-05-17,955,Play noche
1992-05-18,444,Play noche
1992-05-19,269,Cruz roja
1992-05-21,910,Cash noche
1992-05-21,62,Play noche
1992-05-22,490,Cash noche
1992-05-23,876,Play noche
1992-05-25,549,Play noche
1992-05-28,625,Play noche
1992-05-29,830,Play noche
1992-05-29,352,Medellín
1992-06-02,732,Play noche
1992-06-04,17,Cash noche
1992-06-07,615,Play noche
1992-06-10,546,Play noche
1992-06-14,741,Cash noche
1992-06-16,862,Cruz roja
1992-06-20,94,Play noche
1992-06-24,278,Cash noche
1992-06-26,450,Cash noche
1992-07-01,324,Cash noche
1992-07-10,331,Medellín
1992-07-11,61,Cash noche
1992-07-12,827,Cash noche
1992-07-16,88,Cash noche
1992-07-16,807,Play noche
1992-07-19,105,Cash noche
1992-07-23,888,Cash noche
1992-07-28,578,Cruz roja
1992-07-29,944,Play noche
1992-07-30,785,Cash noche
1992-08-01,559,Cash noche
1992-08-07,999,Cash noche
1992-08-09,0,Play noche
1992-08-10,889,Play noche
1992-08-12,15,Cash noche
1992-08-12,2,Play noche
1992-08-14,498,Play noche
1992-08-16,803,Cash noche
1992-08-17,872,Play noche
1992-08-22,904,Play noche
1992-08-26,882,Cash noche
1992-08-27,222,Cash noche
1992-09-01,808,Cruz roja
1992-09-03,959,Cash noche
1992-09-08,37,Cash noche
1992-09-10,417,Cash noche
1992-09-15,273,Play noche
1992-09-16,813,Cash noche
1992-09-17,533,Cash noche
1992-09-18,755,Cash noche
1992-09-24,732,Cash noche
1992-09-25,8,Cash noche
1992-09-28,549,Cash noche
1992-10-02,409,Play noche
1992-10-02,233,Medellín
1992-10-07,45,Cash noche
1992-10-10,950,Cash noche
1992-10-10,334,Play noche
1992-10-16,289,Cash noche
1992-10-16,123,Medellín
1992-10-17,543,Cash noche
1992-10-18,788,Play noche
1992-10-20,287,Cruz roja
